"office_name", "state_name", "county_name", "notes"
"Atlanta", "Georgia", "", ""
"Atlanta", "North Carolina", "", ""
"Atlanta", "South Carolina", "", ""
"Baltimore", "Maryland", "", ""
"Buffalo", "New York", "Albany", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Allegany", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Broome", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Cattaraugus", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Cayuga", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Chautauqua", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Chemung", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Chenango", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Clinton", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Columbia", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Cortland", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Delaware", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Erie", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Essex", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Franklin", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Fulton", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Genesee", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Greene", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Hamilton", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Herkimer", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Jefferson", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Lewis", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Livingston", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Madison", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Monroe", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Montgomery", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Niagara", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Oneida", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Onondaga", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Ontario", "Counties in Upstate New York not in the NYC AOR"
